This is Ipopt version 3.10.0, running with linear solver ma27.
  20  8.7963491e+00 3.47e-01 3.51e+01  -0.6 2.40e+00    -  6.80e-01 1.00e+00f  1
  21  9.7186951e+00 1.33e-01 1.40e+01  -0.6 1.49e+00    -  1.00e+00 3.42e-01h  1
  22  9.7193242e+00 1.33e-01 1.45e+01  -1.5 9.37e-01    -  1.00e+00 7.34e-04h 11
  23  9.7193884e+00 1.32e-01 1.44e+01  -2.6 9.10e-01    -  1.00e+00 5.73e-05h 15
  24  9.7193881e+00 1.33e-01 1.44e+01  -2.5 8.78e-01    -  1.00e+00 7.18e-06h 18
  25  1.1112065e+01 7.05e-02 1.73e+01  -1.5 7.76e-01    -  1.00e+00 5.40e-01H  1
  26  1.1174229e+01 1.16e-01 1.42e+01  -1.5 4.91e-01    -  9.67e-02 2.33e-01f  3
  27  1.1168492e+01 1.35e-01 1.40e+01  -1.5 5.33e-01    -  4.05e-01 5.73e-02h  4
  28  1.1168492e+01 1.36e-01 1.38e+01  -1.5 1.19e+00    -  1.00e+00 7.63e-06h 18
  29  1.1168479e+01 1.35e-01 1.44e+01  -1.5 1.19e+00    -  1.00e+00 3.81e-06h 19
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.2076676e+01 1.39e-01 2.56e+00  -1.5 1.15e+00    -  6.57e-01 6.57e-01s 22
  31  1.2592696e+01 6.97e-02 5.55e+00  -1.5 1.39e+00    -  2.74e-01 0.00e+00S 22
  32  1.2803926e+01 1.72e-02 2.51e+00  -1.5 2.73e-01    -  5.07e-01 5.00e-01h  2
  33  1.2840934e+01 1.96e-02 2.21e+00  -2.1 7.95e-02    -  1.00e+00 5.00e-01h  2
  34  1.3212224e+01 1.25e-03 1.93e+00  -2.8 2.51e-01    -  7.94e-01 5.37e-01H  1
  35  1.3073319e+01 3.88e-01 3.83e+00  -3.6 5.37e-01    -  1.00e+00 3.48e-01h  1
  36  1.5643766e+01 1.37e-01 3.68e+01  -3.2 5.69e+00    -  1.00e+00 3.02e-01h  1
  37  1.5264250e+01 3.35e-01 3.85e+01  -3.2 1.71e+00    -  1.09e-02 3.10e-02H  1
  38  1.5400416e+01 3.30e-01 3.64e+01  -3.2 8.08e+00    -  8.87e-03 1.18e-02h  1
  39  1.5395829e+01 3.31e-01 3.78e+01  -3.2 3.76e+00    -  3.45e-04 3.09e-04F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.5410484e+01 3.26e-01 3.74e+01  -3.2 6.40e+00    -  5.33e-04 1.44e-03h  1
  41  1.5403949e+01 3.31e-01 3.78e+01  -3.2 2.92e+00    -  7.77e-05 4.62e-04F  1
  42  1.5412588e+01 3.07e-01 1.24e+01  -3.2 1.38e+01    -  3.70e-01 5.38e-04h  1
  43  1.5530807e+01 3.02e-01 1.31e+01  -3.2 6.15e+00    -  5.27e-02 1.35e-02h  4
  44  1.9046348e+01 7.59e-02 9.23e+01  -3.2 5.61e+00    -  6.87e-02 4.39e-01h  2
  45  1.9046507e+01 7.64e-02 1.14e+02  -3.2 2.82e+00    -  7.31e-01 3.85e-05h 13
  46  1.8944014e+01 1.19e-01 1.13e+02  -3.2 8.74e+00    -  5.73e-03 5.97e-03f  2
  47  1.8944113e+01 1.19e-01 1.14e+02  -3.2 4.48e+00    -  2.11e-01 2.12e-05h 11
  48  1.9004686e+01 1.09e-01 1.13e+02  -3.2 2.86e+00    -  2.48e-02 1.55e-02h  4
  49  1.8979962e+01 1.21e-01 1.07e+02  -3.2 1.85e+00    -  1.39e-01 4.55e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.9022026e+01 1.05e-01 8.64e+01  -3.2 1.09e+00    -  1.62e-04 1.61e-01h  2
  51  1.8926213e+01 1.20e-01 7.75e+01  -3.2 1.30e+00    -  1.00e+00 4.85e-02h  3
  52  1.8954656e+01 1.14e-01 7.67e+01  -3.2 1.60e+00    -  1.13e-01 1.05e-02h  1
  53  1.9087574e+01 3.46e-02 8.99e+01  -3.2 1.10e+00    -  1.99e-01 5.03e-02h  3
  54  1.9151561e+01 4.48e-02 6.91e+01  -3.2 4.63e-01    -  5.85e-01 5.68e-02H  1
  55  1.9293907e+01 1.40e-02 6.53e+01  -3.2 1.27e+00    -  2.81e-01 6.04e-02h  2
  56  1.9294086e+01 1.34e-02 6.56e+01  -3.2 1.45e-01    -  1.02e-01 1.24e-03h 10
  57  1.9294766e+01 1.33e-02 6.49e+01  -3.2 1.98e-01    -  1.00e+00 1.95e-03h 10
  58  1.9405213e+01 1.04e-02 4.74e+01  -3.2 2.71e-01    -  3.30e-01 2.76e-01h  1
  59  1.9406404e+01 1.01e-02 4.64e+01  -3.2 1.62e-01    -  1.00e+00 3.91e-03h  9
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.9704879e+01 7.79e-03 2.55e+01  -3.2 2.06e-01    -  8.77e-01 1.00e+00h  1
  61  1.8405298e+01 2.31e-01 1.65e+01  -3.6 2.57e-01    -  1.00e+00 3.96e-01H  1
  62  1.9933337e+01 2.94e-02 4.73e+01  -3.6 7.56e+00    -  1.59e-03 1.32e-01h  1
  63  1.8400360e+01 2.35e-01 2.53e+01  -3.6 1.02e+00    -  5.90e-01 1.92e-01H  1
  64  1.9143016e+01 1.63e-01 7.24e+01  -3.6 8.00e+00    -  8.95e-05 6.26e-02h  1
  65  1.9832522e+01 1.03e-01 6.58e+01  -3.6 6.00e+00    -  6.33e-01 7.74e-02h  3
  66  1.4252925e+01 3.27e-01 1.57e+01  -3.6 3.20e+00    -  1.24e-01 1.87e-01F  1
  67  1.6877396e+01 2.34e-01 1.16e+01  -3.6 6.79e+00    -  1.53e-02 2.70e-01h  1
  68  1.8859823e+01 5.25e-02 2.12e+01  -3.6 7.15e+00    -  6.22e-02 1.86e-01h  2
  69  1.8882330e+01 1.99e-02 2.13e+01  -3.6 2.37e+00    -  2.72e-02 9.21e-03h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.9145288e+01 3.38e-02 2.50e+01  -3.6 3.86e-01    -  1.00e+00 5.00e-01h  2
  71  1.9473183e+01 2.02e-02 2.41e+01  -3.6 1.40e+00    -  1.00e+00 1.60e-01h  1
  72  1.9775883e+01 1.09e-03 5.35e+01  -3.6 8.03e-01    -  1.00e+00 2.50e-01h  3
  73  1.9657165e+01 1.04e-02 2.37e+01  -3.6 1.58e-01    -  1.00e+00 5.00e-01h  2
  74  1.8484493e+01 1.65e-02 2.77e+01  -4.1 4.57e-01    -  7.19e-01 5.10e-01H  1
  75  1.8356972e+01 6.99e-03 1.70e+01  -4.0 6.34e-01    -  1.00e+00 1.00e+00H  1
  76  1.6442905e+01 3.35e-02 5.72e+00  -4.6 2.06e-01    -  8.54e-01 1.00e+00H  1
  77  1.7963613e+01 0.00e+00 1.31e+01  -4.6 1.05e+00    -  1.00e+00 1.00e+00h  1
  78  1.7279462e+01 7.14e-04 8.40e+00  -4.6 4.81e-01    -  1.00e+00 1.00e+00f  1
  79  1.6985150e+01 6.90e-03 1.01e+01  -5.0 4.95e-03    -  1.00e+00 7.96e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.6959953e+01 0.00e+00 8.32e+00  -6.1 2.07e-01    -  9.83e-01 1.00e+00H  1
  81  1.6462340e+01 0.00e+00 1.41e+01  -4.1 6.49e-01    -  2.32e-01 1.00e+00f  1
  82  1.2140154e+01 3.71e-01 7.73e+01  -4.6 7.27e+00    -  4.63e-04 3.71e-01f  1
  83  1.2140283e+01 3.72e-01 7.66e+01  -4.6 5.43e+00    -  1.00e+00 2.54e-05h 12
  84  1.5908362e+01 0.00e+00 2.97e+01  -4.6 4.11e+00    -  1.36e-01 6.02e-01h  1
  85  1.1368776e+01 2.27e-01 4.28e+01  -4.6 3.04e+00    -  5.56e-01 1.00e+00f  1
  86  1.4303541e+01 0.00e+00 1.55e+01  -4.6 2.72e+00    -  1.00e+00 7.10e-01h  1
  87  1.3018611e+01 1.09e-01 9.19e+00  -4.6 1.61e+00    -  7.71e-01 5.00e-01f  2
  88  1.3015595e+01 1.09e-01 1.86e+01  -4.6 1.60e+00    -  1.00e+00 1.38e-03H  1
  89  1.0998837e+01 4.88e-01 5.97e+01  -4.6 1.59e+00    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.3939593e+01 0.00e+00 5.36e+01  -4.6 5.04e+00    -  9.14e-02 1.00e+00H  1
  91  1.3138650e+01 9.76e-02 4.31e+00  -4.6 5.03e-01    -  1.00e+00 1.00e+00f  1
  92  1.1082998e+01 4.72e-01 3.97e+00  -4.6 1.42e+00    -  1.00e+00 1.00e+00H  1
  93  1.4221945e+01 0.00e+00 4.04e+00  -4.6 4.95e+00    -  1.35e-01 1.00e+00H  1
  94  1.2594936e+01 2.00e-01 4.51e+00  -4.6 1.03e+00    -  1.00e+00 1.00e+00f  1
  95  1.0513581e+01 4.91e-01 4.63e+00  -4.6 2.66e+00    -  1.00e+00 1.00e+00H  1
  96  1.3958322e+01 0.00e+00 3.98e+00  -4.6 4.85e+00    -  1.20e-01 1.00e+00H  1
  97  1.2851337e+01 1.53e-01 7.51e+00  -4.6 6.91e-01    -  1.00e+00 1.00e+00f  1
  98  1.3683190e+01 2.12e-02 8.21e+00  -4.6 2.11e+00    -  8.17e-01 2.50e-01h  3
  99  1.2757979e+01 1.51e-01 4.04e+00  -4.6 2.93e-01    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.3586426e+01 2.38e-02 3.63e+00  -4.6 2.11e+00    -  6.68e-01 2.50e-01h  3
 101  1.2733672e+01 1.62e-01 6.34e+00  -4.6 3.70e-01    -  1.00e+00 1.00e+00H  1
 102  1.3608826e+01 2.37e-02 6.07e+00  -4.6 2.23e+00    -  6.08e-01 2.50e-01h  3
 103  1.3755043e+01 2.38e-03 5.77e+00  -4.6 3.70e-01    -  1.00e+00 2.50e-01h  3
 104  1.3608411e+01 1.74e-02 5.65e+00  -5.9 2.41e-02    -  1.00e+00 1.00e+00H  1
 105  1.3022138e+01 1.11e-01 6.45e+00  -5.9 2.90e-01    -  1.00e+00 1.00e+00H  1
 106  1.0896491e+01 5.34e-01 2.60e+00  -5.9 1.61e+00    -  1.00e+00 1.00e+00H  1
 107  1.2236458e+01 9.81e-02 2.73e+00  -5.9 5.39e+00    -  2.45e-02 1.00e+00H  1
 108  1.3346533e+01 1.33e-02 1.08e+01  -5.9 1.45e+00    -  1.00e+00 5.00e-01h  2
 109  1.3152955e+01 1.03e-01 9.37e+00  -5.9 9.20e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.0880796e+01 5.41e-01 1.09e+01  -5.9 1.49e+00    -  1.00e+00 1.00e+00H  1
 111  1.3579814e+01 1.22e-02 3.15e+00  -5.9 5.44e+00    -  5.95e-03 1.00e+00H  1
 112  1.3267284e+01 7.37e-02 6.06e+00  -5.9 2.33e-01    -  1.00e+00 1.00e+00H  1
 113  1.1363144e+01 4.50e-01 3.28e+00  -5.9 1.10e+00    -  1.00e+00 1.00e+00H  1
 114  1.1666716e+01 1.49e-01 5.50e+00  -5.9 4.91e+00    -  4.69e-01 1.00e+00H  1
 115  1.2835360e+01 4.79e-02 9.16e+00  -5.9 2.15e+00    -  1.00e+00 3.51e-01h  2
 116  1.3489192e+01 4.63e-02 5.96e+00  -5.9 4.67e-01    -  1.00e+00 1.00e+00h  1
 117  1.2036066e+01 2.91e-01 6.27e+00  -5.9 6.97e-01    -  1.00e+00 1.00e+00H  1
 118  1.1037065e+01 3.91e-01 4.98e+00  -5.9 3.61e+00    -  1.00e+00 1.00e+00H  1
 119  1.3368837e+01 2.47e-02 2.91e+00  -5.9 4.38e+00    -  8.65e-02 3.40e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  1.3498018e+01 2.17e-02 3.94e+00  -5.9 1.92e-01    -  1.00e+00 5.00e-01h  2
 121  1.3499091e+01 2.17e-02 4.10e+00  -5.9 4.29e-01    -  1.00e+00 1.95e-03h 10
 122  1.4077358e+01 0.00e+00 1.02e+01  -5.9 3.99e-01    -  1.00e+00 1.00e+00h  1
 123  1.3999196e+01 3.60e-03 6.13e+00  -5.9 6.37e-02    -  1.00e+00 8.15e-01h  1
 124  1.3994814e+01 8.56e-03 6.54e+00  -5.9 7.31e-02    -  1.00e+00 1.00e+00F  1
 125  1.4101645e+01 0.00e+00 5.70e+00  -5.9 1.41e-01    -  1.00e+00 5.00e-01h  2
 126  1.4022931e+01 5.23e-03 4.97e+00  -5.9 5.14e-02    -  1.00e+00 1.00e+00h  1
 127  1.4097718e+01 0.00e+00 5.41e+00  -5.9 9.90e-02    -  1.00e+00 5.00e-01h  2
 128  1.4049392e+01 4.12e-03 4.45e+00  -7.5 3.11e-02    -  1.00e+00 1.00e+00h  1
 129  1.3939679e+01 1.98e-02 5.09e+00  -7.6 7.59e-02    -  1.00e+00 1.00e+00H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.3015786e+01 1.97e-01 6.56e+00  -7.6 3.38e-01    -  1.00e+00 1.00e+00H  1
 131  1.1431175e+01 4.96e-01 4.84e+00  -7.6 2.82e+00    -  1.00e+00 4.76e-01H  1
 132  1.2436040e+01 3.90e-01 1.04e+02  -7.6 6.06e+00    -  2.19e-08 1.14e-01h  1
 133  1.2917533e+01 3.68e-01 1.04e+02  -7.6 5.86e+00    -  4.58e-01 5.80e-02h  4
 134  1.2917511e+01 3.68e-01 1.04e+02  -7.6 6.31e+00    -  2.42e-03 2.16e-08h  1
 135  1.2917818e+01 3.68e-01 1.04e+02  -7.6 6.23e+00    -  9.18e-05 3.33e-05h 12
 136  1.2918587e+01 3.68e-01 1.55e+03  -7.6 6.19e+00    -  1.00e+00 9.19e-05h 11
 137  1.3003734e+01 3.50e-01 1.37e+03  -7.6 5.52e+00    -  3.34e-02 1.00e-02h  6
 138  1.3015613e+01 3.48e-01 1.00e+02  -7.6 5.34e+00    -  9.00e-01 1.44e-03h  9
 139  1.3015713e+01 3.49e-01 1.02e+02  -7.6 5.23e+00    -  3.99e-02 1.05e-05h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.2983542e+01 3.50e-01 9.97e+01  -7.6 5.32e+00    -  8.22e-01 1.59e-02H  1
 141  1.3010138e+01 3.45e-01 9.89e+01  -7.6 5.32e+00    -  5.37e-04 3.25e-03h  9
 142  1.3014696e+01 3.43e-01 9.86e+01  -7.6 5.27e+00    -  5.05e-02 5.60e-04h 11
 143  1.3014852e+01 3.44e-01 9.86e+01  -7.6 5.25e+00    -  5.54e-03 1.85e-05h 16
 144  1.3015470e+01 3.43e-01 9.88e+01  -7.6 5.25e+00    -  1.00e+00 7.40e-05h  2
 145  1.3015654e+01 3.43e-01 1.18e+02  -7.6 5.25e+00    -  5.11e-02 2.40e-05h  7
 146  1.1423729e+01 4.59e-01 6.47e+01  -7.6 5.25e+00    -  1.00e+00 7.82e-01H  1
 147  1.1430100e+01 4.58e-01 6.44e+01  -7.6 5.80e+00    -  1.34e-09 7.15e-04h  5
 148  1.2983210e+01 1.66e-01 3.62e+01  -7.6 5.80e+00    -  2.47e-01 1.74e-01h  3
In iteration 148, 1 Slack too small, adjusting variable bound
 149  1.2983636e+01 1.67e-01 3.59e+01  -7.6 3.00e+00    -  2.67e-01 9.00e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.3559830e+01 9.82e-02 3.46e+01  -7.6 3.00e+00    -  5.95e-04 1.25e-01h  4
 151  1.3559821e+01 9.85e-02 3.46e+01  -7.6 1.94e+00    -  1.00e+00 5.46e-07h 10
 152r 1.3559805e+01 9.83e-02 9.99e+02  -0.7 0.00e+00    -  0.00e+00 4.68e-07R 10
 153r 1.3880224e+01 0.00e+00 7.06e+02   0.9 1.80e+02    -  1.00e+00 1.05e-03f  1
 154r 1.5121478e+01 0.00e+00 3.90e+02  -1.1 1.69e+00    -  4.59e-01 3.07e-01f  1
 155r 7.6418695e+00 4.93e-01 3.75e+01   0.4 8.12e+00    -  8.84e-01 7.24e-01f  1
 156r 7.7898796e+00 6.77e-01 1.98e+01  -1.6 1.68e+00    -  7.29e-01 7.23e-01f  1
 157r 9.6436099e+00 1.38e-01 3.51e+00  -2.0 1.58e+00    -  6.73e-01 9.93e-01f  1
 158  9.6003546e+00 1.44e-01 2.13e+01  -2.2 6.52e+02    -  1.00e+00 4.82e-05f  1
 159  1.0638896e+01 6.96e-02 1.86e+01  -3.0 7.38e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.0302935e+01 1.58e-01 1.47e+01  -2.4 5.64e-01    -  1.00e+00 1.00e+00H  1
 161  9.9079134e+00 2.15e-01 1.00e+01  -2.5 1.16e+00    -  1.00e+00 1.00e+00H  1
 162  1.0038051e+01 1.80e-01 1.16e+01  -2.5 1.54e+00    -  1.00e+00 1.00e+00H  1
 163  1.1182306e+01 0.00e+00 1.44e+01  -2.5 1.35e+00    -  8.12e-01 5.00e-01h  2
 164  1.0674298e+01 9.28e-02 1.30e+01  -3.8 2.78e-01    -  1.00e+00 1.00e+00f  1
 165  1.0088140e+01 2.01e-01 1.03e+01  -3.7 7.05e-01    -  1.00e+00 1.00e+00H  1
 166  9.9079287e+00 2.04e-01 1.15e+01  -3.7 1.45e+00    -  1.00e+00 1.00e+00H  1
 167  9.9684600e+00 2.02e-01 1.19e+01  -3.7 1.50e+00    -  1.00e+00 1.00e+00H  1
 168  1.1225813e+01 0.00e+00 8.89e+00  -3.7 1.49e+00    -  7.22e-01 5.00e-01h  2
 169  1.0690337e+01 9.21e-02 1.42e+01  -3.7 2.97e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.0113817e+01 1.97e-01 1.01e+01  -3.7 7.01e-01    -  1.00e+00 1.00e+00H  1
 171  9.9285955e+00 2.01e-01 1.15e+01  -3.7 1.43e+00    -  1.00e+00 1.00e+00H  1
 172  1.1192358e+01 0.00e+00 8.53e+00  -3.7 1.49e+00    -  7.18e-01 5.00e-01h  2
 173  1.0663417e+01 1.02e-01 1.45e+01  -3.7 2.87e-01    -  1.00e+00 1.00e+00f  1
 174  1.0018385e+01 2.14e-01 9.22e+00  -3.7 7.60e-01    -  1.00e+00 1.00e+00H  1
 175  1.0012947e+01 1.84e-01 1.13e+01  -3.7 1.53e+00    -  1.00e+00 1.00e+00H  1
 176  9.2750485e+00 5.32e-01 1.12e+01  -3.7 1.32e+00    -  1.00e+00 1.00e+00H  1
 177  9.6268744e+00 1.63e-01 1.18e+01  -3.7 2.98e+00    -  6.57e-01 1.00e+00H  1
 178  1.0211671e+01 9.55e-02 1.43e+01  -3.7 1.38e+00    -  1.00e+00 2.50e-01h  3
 179  1.1318562e+01 0.00e+00 1.22e+01  -3.7 7.22e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.0997860e+01 9.32e-02 9.63e+00  -4.9 1.44e-01    -  1.00e+00 1.00e+00h  1
 181  9.9493973e+00 6.85e-01 1.04e+01  -4.9 7.48e-01    -  1.00e+00 8.90e-01H  1
 182  1.0903364e+01 5.36e-01 3.27e+01  -4.9 5.35e+00    -  2.65e-05 1.22e-01h  2
 183  1.0979306e+01 5.32e-01 3.23e+01  -4.9 5.31e+00    -  9.56e-01 1.02e-02h  6
 184  1.0989405e+01 5.32e-01 3.19e+01  -4.9 5.31e+00    -  1.00e+00 1.35e-03h 10
 185  9.5325983e+00 3.63e-01 1.17e+01  -4.9 4.38e+00    -  3.43e-01 1.00e+00H  1
 186  1.0978093e+01 1.24e-01 9.45e+00  -4.9 3.33e+00    -  8.31e-01 2.50e-01h  3
 187  1.0994106e+01 1.23e-01 9.34e+00  -4.9 7.30e-01    -  1.00e+00 1.56e-02h  7
 188  1.2029877e+01 8.08e-02 8.87e+00  -4.9 7.26e-01    -  1.00e+00 1.00e+00h  1
 189  1.0645437e+01 6.00e-01 7.10e+00  -4.9 8.65e-01    -  1.00e+00 6.99e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.0858989e+01 5.60e-01 8.05e+00  -4.9 5.60e+00    -  1.14e-05 2.55e-02h  4
 191  1.0892148e+01 5.54e-01 1.56e+01  -4.9 5.53e+00    -  1.00e+00 4.08e-03h  8
 192  1.0899150e+01 5.52e-01 1.56e+01  -4.9 5.10e+00    -  1.32e-02 8.61e-04h 11
 193  1.0487479e+01 2.21e-01 7.83e+00  -4.9 4.91e+00    -  9.90e-01 1.00e+00H  1
 194  1.0952023e+01 1.61e-01 9.27e+00  -4.9 2.28e+00    -  3.06e-01 1.25e-01h  4
 195  1.0971665e+01 1.59e-01 8.96e+00  -4.9 1.61e+00    -  1.00e+00 7.81e-03h  8
 196  1.0976558e+01 1.59e-01 9.01e+00  -4.9 1.53e+00    -  8.15e-01 1.95e-03h 10
 197  1.0977836e+01 1.58e-01 8.87e+00  -4.9 1.45e+00    -  1.00e+00 4.88e-04h 12
 198  1.0977888e+01 1.60e-01 9.32e+00  -4.9 1.45e+00    -  5.76e-01 3.05e-05h 16
 199  1.3431934e+01 0.00e+00 9.95e+00  -4.9 1.60e+00    -  1.00e+00 1.00e+00s 22
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.1303692e+01 5.35e-01 7.29e+00  -4.9 1.27e+00    -  1.00e+00 1.00e+00s 22
 201r 1.1303730e+01 5.34e-01 9.99e+02  -0.2 0.00e+00    -  0.00e+00 0.00e+00R  1
 202r 1.1305915e+01 5.26e-01 9.90e+02  -1.9 6.08e+02    -  1.90e-02 2.07e-05f  1
 203r 1.4070978e+01 0.00e+00 2.84e+01   0.3 3.25e+02    -  1.00e+00 2.86e-03f  1
 204r 1.1924350e+01 1.68e-02 2.73e+01   0.5 2.19e+00    -  3.88e-01 9.56e-01f  1
 205r 1.2620066e+01 0.00e+00 1.43e+00  -0.4 7.78e-01    -  9.76e-01 1.00e+00f  1
 206  9.9202370e+00 4.60e-02 3.12e+00  -3.2 1.92e+00    -  1.00e+00 6.23e-01f  1
 207  8.6989533e+00 3.95e-01 1.33e+01  -2.0 5.30e+00    -  8.49e-01 9.52e-02f  1
 208  8.4904184e+00 4.83e-01 1.35e+01  -2.0 6.69e+00    -  6.30e-02 1.28e-02f  1
 209  8.2927324e+00 5.54e-01 2.05e+01  -2.4 1.34e+01    -  8.27e-01 3.16e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  8.1820467e+00 6.42e-01 2.50e+01  -1.5 1.51e+00    -  1.00e+00 9.92e-02f  1
 211  9.9608540e+00 3.05e-02 1.43e+01  -1.6 1.55e+00    -  3.66e-01 6.86e-01h  1
 212  9.0447181e+00 4.51e-01 1.07e+01  -1.6 4.49e-01    -  1.00e+00 1.00e+00f  1
 213  9.0446983e+00 4.51e-01 1.10e+01  -1.6 2.69e+00    -  2.54e-01 4.82e-06h 16
 214  9.0450989e+00 4.51e-01 1.10e+01  -1.6 2.13e+00    -  1.00e+00 1.68e-04h 11
 215  1.3314654e+01 0.00e+00 1.20e+01  -1.6 2.77e+00    -  3.01e-01 1.00e+00h  1
 216  9.9130856e+00 3.31e-01 1.19e+01  -1.6 2.23e+00    -  8.28e-01 1.00e+00f  1
 217  1.0264399e+01 2.74e-01 9.10e+00  -1.6 1.17e+00    -  1.47e-01 2.71e-01h  1
 218  1.2095768e+01 0.00e+00 3.16e+00  -1.6 2.27e+00    -  1.00e+00 5.00e-01h  2
 219  1.1970948e+01 1.38e-01 5.04e+00  -1.6 8.86e-01    -  1.00e+00 1.36e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
